rank,pref,pref_code,muni,did_pop_pct,yukaue,yukashita,buildings,takuchi_share,first_year,last_year,years,has_a51,a51_km2,hires_dem_pref,hires_dem,wards,typhoon_share,tsuyu_share,gou_share,etc_share
70,新潟県,15,新潟市,75.2,75.0,379.0,454.0,1.0,2010,2022,3,False,,False,,東区 34、中央区 16、西区 5、秋葉区 4…,0.019823788546255508,0.03524229074889868,0.9449339207048458,0.0
71,埼玉県,11,草加市,99.2,91.0,359.0,450.0,1.0,2010,2023,6,False,,False,,,0.9177777777777778,0.0,0.08222222222222222,0.0
72,宮崎県,45,日向市,66.7,205.0,243.0,448.0,0.7305619707467282,2011,2023,8,False,,False,,,0.9754464285714286,0.0,0.024553571428571428,0.0
73,三重県,24,鈴鹿市,57.1,24.0,413.0,437.0,1.0,2011,2017,7,False,,False,,,0.9862700228832952,0.0,0.013729977116704805,0.0
74,愛媛県,38,松山市,83.7,31.0,400.0,431.0,1.0,2010,2022,7,False,,False,,,0.03944315545243619,0.8167053364269141,0.14385150812064965,0.0
75,静岡県,22,富士市,81.8,110.0,290.0,400.0,1.0,2010,2023,6,False,,True,DEM 0.5m（点群 LAS）,,0.95,0.0375,0.0125,0.0
76,東京都,13,板橋区,100.0,290.0,109.0,399.0,1.0,2010,2019,8,False,,True,DEM 0.25m・0.5m（点群 LAS）,,0.06015037593984962,0.015037593984962405,0.924812030075188,0.0
77,宮城県,4,多賀城市,95.2,49.0,318.0,367.0,1.0,2011,2014,2,True,6.87,False,,,1.0,0.0,0.0,0.0
78,東京都,13,練馬区,100.0,223.0,130.0,353.0,1.0,2010,2020,10,False,,True,DEM 0.25m・0.5m（点群 LAS）,,0.019830028328611898,0.031161473087818695,0.9490084985835694,0.0
79,静岡県,22,藤枝市,61.3,173.0,179.0,352.0,1.0,2012,2023,6,False,,True,DEM 0.5m（点群 LAS）,,0.9147727272727273,0.017045454545454544,0.06818181818181818,0.0
80,神奈川県,14,小田原市,87.3,39.0,312.0,351.0,1.0,2010,2021,3,False,,True,DEM 0.5m（R4 範囲は 1m・DSM も）,,0.9344729344729344,0.06552706552706553,0.0,0.0
81,宮城県,4,大河原町,72.6,136.0,214.0,350.0,0.9384513567174058,2011,2019,5,False,,False,,,1.0,0.0,0.0,0.0
82,愛知県,23,春日井市,86.8,153.0,194.0,347.0,1.0,2011,2021,7,False,,False,,,0.7060518731988472,0.0,0.29394812680115273,0.0
83,千葉県,12,市川市,97.9,151.0,190.0,341.0,1.0,2010,2015,4,False,,False,,,0.9501466275659824,0.0,0.04985337243401759,0.0
84,青森県,2,青森市,79.7,36.0,304.0,340.0,0.0545990678207933,2010,2022,6,False,,False,,,0.7323529411764705,0.1411764705882353,0.1264705882352941,0.0
85,愛知県,23,西尾市,50.8,93.0,247.0,340.0,1.0,2011,2023,7,False,,False,,,0.31470588235294117,0.0,0.6852941176470588,0.0
86,群馬県,10,伊勢崎市,50.4,81.0,233.0,314.0,0.4128440366972477,2010,2023,7,False,,False,,,0.9012738853503185,0.01910828025477707,0.07961783439490445,0.0
87,広島県,34,広島市,100.0,87.0,217.0,304.0,0.43983402489626555,2014,2022,2,True,2.5,False,,安佐北区 284、西区 14、安佐南区 3、中区 2…,0.0,0.0,1.0,0.0
88,東京都,13,狛江市,100.0,104.0,199.0,303.0,0.8976377952755906,2010,2019,5,False,,True,DEM 0.25m・0.5m（点群 LAS）,,0.9933993399339934,0.0,0.006600660066006601,0.0
89,千葉県,12,船橋市,96.0,108.0,189.0,297.0,1.0,2010,2023,6,False,,False,,,0.8451178451178452,0.06060606060606061,0.09427609427609428,0.0
90,京都府,26,城陽市,90.6,40.0,250.0,290.0,0.96,2010,2016,4,False,,False,,,0.1103448275862069,0.0,0.8896551724137931,0.0
